series,days,rs_from,rs_to,n,hit_rate,mean_excess,median_excess,p25_excess,mean_max_rel_dd,mean_min_rel
ibd_roc_63_126_189_252_w2111,30,40,80,620,0.5580645161290323,0.11781619615230593,0.04582913350173656,-0.14603384962725835,-0.21162689579088315,-0.13077363944373138
ibd_roc_63_126_189_252_w2111,30,40,90,220,0.65,0.23010431119635028,0.1067366418215615,-0.10825168626263795,-0.24159910512573413,-0.13843137230750066
ibd_roc_63_126_189_252_w2111,40,20,70,701,0.5520684736091298,0.12675541125179132,0.035422151143414515,-0.13102127306204564,-0.2109648130493846,-0.13021157911373069
ibd_roc_63_126_189_252_w2111,40,20,80,373,0.5549597855227882,0.16315936131624809,0.04495719330732917,-0.1661991168029966,-0.22699467677961108,-0.14149161841452076
ibd_roc_63_126_189_252_w2111,40,20,90,160,0.65625,0.29618104700904613,0.1067366418215615,-0.1414308921346163,-0.24961997254372062,-0.13979330821801084
ibd_roc_63_126_189_252_w2111,40,30,70,1195,0.5271966527196653,0.09020666971188739,0.023333834736984582,-0.13331848462698337,-0.19735402214733785,-0.12495166689744536
ibd_roc_63_126_189_252_w2111,40,30,80,583,0.5660377358490566,0.14265811540024168,0.04791799592381607,-0.14975617184209983,-0.21097264102065547,-0.12937751352233506
ibd_roc_63_126_189_252_w2111,40,30,90,241,0.6804979253112033,0.25919370642139344,0.1209760088508045,-0.10621569683932586,-0.2368586374667211,-0.12764193005066163
ibd_roc_63_126_189_252_w2111,40,40,70,1853,0.5121424716675661,0.06659355427666536,0.006215775828394499,-0.12858153236240766,-0.18835095746973257,-0.12102949151871714
ibd_roc_63_126_189_252_w2111,40,40,80,885,0.5491525423728814,0.10763083372207179,0.04015640000930176,-0.14059607565859372,-0.20305532990974703,-0.12635966958250183
ibd_roc_63_126_189_252_w2111,40,40,90,313,0.6549520766773163,0.21667574955960156,0.10529899213685479,-0.10625360102823223,-0.23234321376306094,-0.12886789813111785
roc_63_126_252_w211,10,20,70,143,0.5944055944055944,0.2314065457744687,0.07172356251161571,-0.12944331512939938,-0.24701691093245354,-0.14506219045249444
roc_63_126_252_w211,10,20,80,64,0.484375,0.13156000485346708,-0.024201115072466084,-0.1775710610222234,-0.2655637037799731,-0.16855466212603532
roc_63_126_252_w211,10,20,90,22,0.4090909090909091,0.2115060000988894,-0.06341129649749944,-0.20990988936771798,-0.3138331180197866,-0.18963815434018605
roc_63_126_252_w211,10,30,70,293,0.6143344709897611,0.2142728589825148,0.08758620901216452,-0.10910152460577605,-0.2295586048124089,-0.13505364890994118
roc_63_126_252_w211,10,30,80,115,0.5565217391304348,0.17245130968043684,0.042101365893839615,-0.13821943102801554,-0.24887343852026106,-0.15057119614619063
roc_63_126_252_w211,10,30,90,36,0.4722222222222222,0.1962927513019851,-0.05089840991431954,-0.19281233234346362,-0.2883125429465509,-0.17926572853327746
roc_63_126_252_w211,10,40,70,582,0.5463917525773195,0.12739245803880372,0.03305679699247327,-0.13179978345683918,-0.21887158654813058,-0.1370195534877056
roc_63_126_252_w211,10,40,80,203,0.5369458128078818,0.13901566868577916,0.024666308261045877,-0.14041631526732995,-0.24055877946604512,-0.15269052627428084
roc_63_126_252_w211,10,40,90,58,0.5172413793103449,0.17766156800235777,0.0007452330901266402,-0.21624042043128483,-0.2785235493534605,-0.17812187503876034
roc_63_126_252_w211,20,20,70,382,0.6282722513089005,0.21792717117112964,0.07106216732635284,-0.07849612989296534,-0.22001502668563008,-0.12795616890269806
roc_63_126_252_w211,20,20,80,202,0.5396039603960396,0.17790104375908145,0.032918628818265794,-0.1399691136999511,-0.24332096660890296,-0.14973883786589848
roc_63_126_252_w211,20,20,90,67,0.5970149253731343,0.2418443528871864,0.06503852902019913,-0.18531349172106248,-0.27094478891496176,-0.1665676075423497
roc_63_126_252_w211,20,30,70,741,0.5843454790823212,0.14590459579670959,0.05734855995598309,-0.11582700289841469,-0.2080408275682157,-0.12814479437437917
roc_63_126_252_w211,20,30,80,333,0.5645645645645646,0.1643655607030779,0.05283754969908783,-0.1347200656841444,-0.2285060542988465,-0.14498231140126372
roc_63_126_252_w211,20,30,90,113,0.6283185840707964,0.2622632806968099,0.11177084470822041,-0.13272182535188315,-0.25199580955949324,-0.14721191542464931
roc_63_126_252_w211,20,40,70,1262,0.5451664025356577,0.10441804749869367,0.028207070426367775,-0.11730705440805866,-0.19825362464445245,-0.12410891235377965
roc_63_126_252_w211,20,40,80,513,0.5380116959064327,0.12825033298865018,0.032918628818265794,-0.14448357137979298,-0.22089729071715966,-0.14210497751986556
roc_63_126_252_w211,20,40,90,164,0.5975609756097561,0.22587664947946876,0.11177084470822041,-0.15218642521795972,-0.24494337280810347,-0.14581403364530587
roc_63_126_252_w211,30,20,70,638,0.5971786833855799,0.1643737547643633,0.05829242219782571,-0.11261828024192841,-0.21350092623983252,-0.12768492198443648
roc_63_126_252_w211,30,20,80,370,0.5567567567567567,0.17086810735925068,0.042595171146878164,-0.13198996437201083,-0.22796049204427196,-0.1416384811102518
roc_63_126_252_w211,30,20,90,144,0.5902777777777778,0.2550558269607793,0.09966771826001275,-0.18282910577372888,-0.25645504456231893,-0.15918944026847065
